Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
28	307	2.2e-37	36.7	6.66	45	14	13	43.4	12.4	13.1	547	42	8	11	221
27	233	6.78e-31	30.2	6.95	16	10	15	16.5	12.6	14.1	595	14	12	14	225
26	205	2.89e-28	27.5	5.73	23	21	25	20.9	21.9	28.7	572	22	22	32	262
25	32	2.38e-07	6.62	5.5	14	28	21	14.3	28.1	21.1	544	13	28	20	268
24	28	1.43e-06	5.84	4.45	41	19	25	42.5	20.5	24.5	254	41	19	25	181
23	28	1.43e-06	5.84	4.63	29	27	11	31.7	27	11.3	702	31	31	12	279
22	24	8.17e-06	5.09	4.8	36	36	27	35.4	36.3	26.4	334	36	36	27	209
21	21	3.26e-05	4.49	5.2	16	34	19	16.7	35	18.8	298	14	38	18	226
20	20	5.25e-05	4.28	4.13	45	40	17	47.5	38.6	16.7	537	49	39	16	261
19	20	5.25e-05	4.28	4.62	19	34	23	18.4	34.9	23.1	266	15	37	23	208
18	18	0.000139	3.86	5.05	45	32	31	45.2	32.6	30	551	44	32	31	316
17	17	0.00023	3.64	4.92	30	11	12	30.1	11.5	11.3	204	30	11	12	164
16	16	0.000384	3.42	4.13	50	20	19	50.4	19.4	19.5	231	52	20	20	184
15	15	0.000647	3.19	4.36	25	55	15	25.2	54.9	16	319	25	56	16	228
14	13	0.00191	2.72	4.63	47	35	23	47.6	35.1	22.2	465	47	35	23	288
13	13	0.00191	2.72	4.6	29	30	19	29	29	18.8	315	30	30	19	222
12	12	0.00334	2.48	4.35	40	53	14	39.3	53.2	14.3	378	39	52	14	243
11	12	0.00334	2.48	5.2	50	32	25	49.4	32.7	25.5	362	50	32	25	285
10	12	0.00334	2.48	4.24	39	16	25	40.5	15.5	25.4	230	39	16	25	176
9	11	0.00595	2.23	4.48	24	8	15	23.6	7.73	13.4	287	24	9	12	181
8	9	0.0198	1.7	4.08	31	16	30	31.4	16.6	28.4	489	31	16	28	350
7	9	0.0198	1.7	4.29	21	5	19	20.3	6.44	19.6	284	21	5	19	202
6	9	0.0198	1.7	3.79	50	22	27	48.8	21.8	26.7	256	50	20	27	181
5	9	0.0198	1.7	3.77	21	42	20	22.2	41.3	19.1	260	20	40	18	185
4	9	0.0198	1.7	3.85	38	35	33	38.2	35.3	32.6	500	38	35	33	309
3	9	0.0198	1.7	4.26	21	33	21	22.4	33.9	20.6	208	21	32	21	165
2	8	0.0372	1.43	3.69	45	43	24	45.4	43.1	23.4	208	45	43	24	165
1	8	0.0372	1.43	4.08	50	27	23	50.2	26.6	22.6	246	50	27	23	191
