Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
28	307	2.2e-37	36.7	6.66	47	-63.7	-12.9	42.1	-69.1	-12.3	547	39	-83.3	-21.2	221
27	233	6.78e-31	30.2	6.95	-45.2	-81.7	-4.61	-43.9	-73.8	-9.3	595	-51.9	-76.1	-9.99	225
26	205	2.89e-28	27.5	5.73	-27.2	-44.1	40.9	-34.7	-41	58.2	572	-31.9	-39.8	73.8	262
25	32	2.38e-07	6.62	5.5	-56.6	-25.1	19.5	-55.6	-24.7	19.8	544	-59.6	-25.5	14.7	268
24	28	1.43e-06	5.84	4.63	-6.5	-27.1	-26.7	2.19	-26.5	-25.1	702	-1.15	-14.1	-22.7	279
23	28	1.43e-06	5.84	4.45	30.8	-46.6	42.7	35.4	-41.9	40.2	254	30.8	-46.6	42.7	181
22	24	8.17e-06	5.09	4.8	10.8	5.42	47.8	9.01	6.23	45	334	10.8	5.42	47.8	209
21	21	3.26e-05	4.49	5.2	-51.1	-6.49	8.71	-49.1	-3.33	7.47	298	-58.1	5.3	2.85	226
20	20	5.25e-05	4.28	4.13	40.7	17.7	-0.062	48.9	13.9	-1.01	537	53.9	15.2	-4.28	261
19	20	5.25e-05	4.28	4.62	-42.3	-5.07	28	-44.5	-2.25	28.2	266	-55.7	3.41	26.9	208
18	18	0.000139	3.86	5.05	39.6	-4.33	68.4	40.4	-2.77	63.6	551	36.4	-4.54	68.3	316
17	17	0.00023	3.64	4.92	-0.128	-76.3	-18.1	0.0972	-74.8	-21.6	204	-0.128	-76.3	-18.1	164
16	16	0.000384	3.42	4.13	60.5	-42.9	14.6	61.8	-44.7	17	231	66.7	-42.3	19.5	184
15	15	0.000647	3.19	4.36	-26	59.6	-14.6	-25.4	59.7	-10	319	-26.4	62.9	-10.1	228
14	13	0.00191	2.72	4.6	-8.71	-16.2	10.6	-8.49	-19.5	9.86	315	-5.51	-16	10.7	222
13	13	0.00191	2.72	4.63	47	3.77	29.8	48.9	4.05	25.9	465	47	3.77	29.8	288
12	12	0.00334	2.48	4.35	22.6	56.3	-17.8	20.3	56.8	-16.4	378	19.6	53	-17.6	243
11	12	0.00334	2.48	4.24	25	-56.3	43.2	29.7	-57.5	45.4	230	25	-56.3	43.2	176
10	12	0.00334	2.48	5.2	56.8	-4.51	40.3	54.5	-2.32	42.7	362	56.8	-4.51	40.3	285
9	11	0.00595	2.23	4.48	-19.3	-86.2	-3.53	-20.1	-87.4	-11.1	287	-18.9	-83.7	-18	181
8	9	0.0198	1.7	3.77	-37	19.5	11.9	-32.8	17.6	8.03	260	-39.4	12.7	2.82	185
7	9	0.0198	1.7	4.29	-29	-95.3	16	-31.8	-90.9	18.2	284	-29	-95.3	16	202
6	9	0.0198	1.7	4.26	-35.3	-8.16	18.8	-31	-5.21	16.8	208	-35.1	-11.3	19.1	165
5	9	0.0198	1.7	3.79	58.5	-35.1	52.1	54.9	-36.1	50.6	256	58.9	-41.3	52.6	181
4	9	0.0198	1.7	4.08	-1.53	-57	66.4	0.0724	-55.3	58.5	489	-1.14	-57.4	56.9	350
3	9	0.0198	1.7	3.85	16.2	3.93	76.7	17	4.86	74.5	500	16.2	3.93	76.7	309
2	8	0.0372	1.43	4.08	58.2	-20.4	31.9	59.2	-21.6	30.2	246	58.2	-20.4	31.9	191
1	8	0.0372	1.43	3.69	38.7	28.4	32.5	40	28.7	29.6	208	38.7	28.4	32.5	165
